bedrooms,floors,yr_built,price
3,1,1955,221900
3,2,1951,538000
2,1,1933,180000
4,1,1965,604000
3,1,1987,510000
4,1,2001,1230000
3,2,1995,257500
3,1,1963,291850
3,1,1960,229500
3,2,2003,323000
3,1,1965,662500
2,1,1942,468000
3,1.5,1927,310000
3,1,1977,400000
5,1.5,1900,530000
4,2,1979,650000
3,2,1994,395000
4,1.5,1916,485000
2,1,1921,189000
3,1,1969,230000
4,1,1947,385000
3,1,1968,2000000
5,2,1995,285000
2,1,1985,252700
3,2,1985,329000
3,1.5,1941,233000
3,2,1915,937000
3,1.5,1909,667000
3,1,1948,438000
4,2,2005,719000
3,2,2003,580500
2,3,2005,280000
4,1.5,1929,687500
3,1.5,1929,535000
4,1,1981,322500
3,1.5,1930,696000
4,1,1933,550000
4,2,1904,640000
4,1,1969,240000
4,2,1996,605000
4,2,2000,625000
4,1,1984,775000
5,2,2014,861990
3,2,1922,685000
3,1,1959,309000
3,2,2003,488000
3,1,1966,210490
4,2,1981,785000
3,1,1953,450000
3,1,1953,1350000
3,1,1955,228000
5,1,1966,345000
3,1,1950,600000
2,1,1981,585000
5,1.5,1927,920000
4,2,1995,885000
4,2,2008,292500
3,2,2003,301000
5,2,1968,951000
4,2,1991,430000
3,1,1959,650000
3,1,1954,289000
3,2,1973,505000
3,3,2014,549000
3,1,1979,425000
3,1.5,1925,317625
4,2,1989,975000
4,2,2005,287000
3,1,1968,204000
5,1,1965,1330000
5,1,1973,1040000
3,1,1972,325000
4,1.5,1916,571000
4,2,2005,360000
3,1,1965,349000
4,2,1986,832500
4,1,1956,380000
3,1,1941,480000
3,1,1956,410000
4,2,2002,720000
3,2,2003,390000
4,2,1992,360000
2,1,1948,355000
3,1,1964,356000
3,1,1952,315000
3,2,1925,940000
5,1.5,1961,305000
3,2,2006,461000
2,2,1979,215000
2,2,2006,335000
4,2,1988,243500
5,2,2001,1100000
3,1,1962,153000
3,1,1939,430000
3,1,1939,700000
4,1,1946,905000
3,1,1967,247500
4,1,1975,199000
3,1,1980,314000
3,2,1992,437500
3,1.5,1910,850830
3,1.5,1929,555000
3,2,1983,699950
3,2,1950,1090000
3,1,1954,290000
3,1,1978,375000
3,1.5,1939,460000
2,1,1985,188500
4,2,1991,680000
5,2,1942,470000
4,2,1984,597750
3,1,1905,570000
3,1,1980,272500
3,1,1971,329950
4,2,2001,480000
3,2,1900,740500
3,3,2010,518500
2,1,1945,205425
4,1,1950,171800
4,1.5,1925,535000
3,1,1964,660000
3,1,1987,391500
2,1,1953,395000
4,1.5,1924,445000
3,2,1990,770000
